Year,LocationAbbr,LocationDesc,Class,Topic,Question,Data_Value,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,TopicID,QuestionID,StratificationCategory1,Stratification1
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,28.3,401,,,,,"Less than $15,000",,OWS1,Q037,Income,"Less than $15,000"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,28.1,68,,,,,,2 or more races,OWS1,Q037,Race/Ethnicity,2 or more races
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,29.7,143,,,,,,American Indian/Alaska Native,OWS1,Q037,Race/Ethnicity,American Indian/Alaska Native
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,40.7,271,,,,,,Hispanic,OWS1,Q037,Race/Ethnicity,Hispanic
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.5,859,,,,,,Non-Hispanic Black,OWS1,Q037,Race/Ethnicity,Non-Hispanic Black
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,"2,993",,,,,,Non-Hispanic White,OWS1,Q037,Race/Ethnicity,Non-Hispanic White
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.8,"4,483",Total,,,,,,OWS1,Q037,Total,Total
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,15.6,339,,18 - 24,,,,,OWS1,Q036,Age (years),18 - 24
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.6,555,,25 - 34,,,,,OWS1,Q036,Age (years),25 - 34
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,34.2,588,,35 - 44,,,,,OWS1,Q036,Age (years),35 - 44
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,40.2,774,,45 - 54,,,,,OWS1,Q036,Age (years),45 - 54
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.2,879,,55 - 64,,,,,OWS1,Q036,Age (years),55 - 64
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.3,"1,348",,65 or older,,,,,OWS1,Q036,Age (years),65 or older
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24,"1,631",,,College graduate,,,,OWS1,Q036,Education,College graduate
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.4,"1,145",,,High school graduate,,,,OWS1,Q036,Education,High school graduate
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,35.5,442,,,Less than high school,,,,OWS1,Q036,Education,Less than high school
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36.9,"1,261",,,Some college or technical school,,,,OWS1,Q036,Education,Some college or technical school
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.8,"2,397",,,,Female,,,OWS1,Q036,Gender,Female
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.5,"2,085",,,,Male,,,OWS1,Q036,Gender,Male
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,38.8,692,,,,,"$15,000 - $24,999",,OWS1,Q036,Income,"$15,000 - $24,999"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.8,458,,,,,"$25,000 - $34,999",,OWS1,Q036,Income,"$25,000 - $34,999"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,33.5,529,,,,,"$35,000 - $49,999",,OWS1,Q036,Income,"$35,000 - $49,999"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.3,605,,,,,"$50,000 - $74,999",,OWS1,Q036,Income,"$50,000 - $74,999"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,29.2,"1,101",,,,,"$75,000 or greater",,OWS1,Q036,Income,"$75,000 or greater"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,26,697,,,,,Data not reported,,OWS1,Q036,Income,Data not reported
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,39.5,401,,,,,"Less than $15,000",,OWS1,Q036,Income,"Less than $15,000"
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,31,68,,,,,,2 or more races,OWS1,Q036,Race/Ethnicity,2 or more races
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,36,143,,,,,,American Indian/Alaska Native,OWS1,Q036,Race/Ethnicity,American Indian/Alaska Native
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,28.1,271,,,,,,Hispanic,OWS1,Q036,Race/Ethnicity,Hispanic
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,41.8,859,,,,,,Non-Hispanic Black,OWS1,Q036,Race/Ethnicity,Non-Hispanic Black
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.3,"2,993",,,,,,Non-Hispanic White,OWS1,Q036,Race/Ethnicity,Non-Hispanic White
2017,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32.1,"4,483",Total,,,,,,OWS1,Q036,Total,Total
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.5,331,,18 - 24,,,,,PA1,Q043,Age (years),18 - 24
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45,570,,25 - 34,,,,,PA1,Q043,Age (years),25 - 34
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.1,581,,35 - 44,,,,,PA1,Q043,Age (years),35 - 44
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),47.9,755,,45 - 54,,,,,PA1,Q043,Age (years),45 - 54
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),51.2,858,,55 - 64,,,,,PA1,Q043,Age (years),55 - 64
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),51.6,"1,303",,65 or older,,,,,PA1,Q043,Age (years),65 or older
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),58.3,"1,613",,,College graduate,,,,PA1,Q043,Education,College graduate
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.4,"1,099",,,High school graduate,,,,PA1,Q043,Education,High school graduate
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.3,428,,,Less than high school,,,,PA1,Q043,Education,Less than high school
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),51,"1,252",,,Some college or technical school,,,,PA1,Q043,Education,Some college or technical school
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.4,"2,421",,,,Female,,,PA1,Q043,Gender,Female
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),48.9,"1,975",,,,Male,,,PA1,Q043,Gender,Male
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),38.4,672,,,,,"$15,000 - $24,999",,PA1,Q043,Income,"$15,000 - $24,999"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),46.6,433,,,,,"$25,000 - $34,999",,PA1,Q043,Income,"$25,000 - $34,999"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.5,521,,,,,"$35,000 - $49,999",,PA1,Q043,Income,"$35,000 - $49,999"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),55.7,588,,,,,"$50,000 - $74,999",,PA1,Q043,Income,"$50,000 - $74,999"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),59.1,"1,074",,,,,"$75,000 or greater",,PA1,Q043,Income,"$75,000 or greater"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),42.2,718,,,,,Data not reported,,PA1,Q043,Income,Data not reported
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.1,392,,,,,"Less than $15,000",,PA1,Q043,Income,"Less than $15,000"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),48.4,63,,,,,,2 or more races,PA1,Q043,Race/Ethnicity,2 or more races
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),36.3,134,,,,,,American Indian/Alaska Native,PA1,Q043,Race/Ethnicity,American Indian/Alaska Native
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.4,305,,,,,,Hispanic,PA1,Q043,Race/Ethnicity,Hispanic
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.9,827,,,,,,Non-Hispanic Black,PA1,Q043,Race/Ethnicity,Non-Hispanic Black
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.4,"2,929",,,,,,Non-Hispanic White,PA1,Q043,Race/Ethnicity,Non-Hispanic White
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.2,"4,398",Total,,,,,,PA1,Q043,Total,Total
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,33.8,330,,18 - 24,,,,,PA1,Q044,Age (years),18 - 24
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.4,562,,25 - 34,,,,,PA1,Q044,Age (years),25 - 34
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.1,576,,35 - 44,,,,,PA1,Q044,Age (years),35 - 44
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.7,753,,45 - 54,,,,,PA1,Q044,Age (years),45 - 54
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.1,852,,55 - 64,,,,,PA1,Q044,Age (years),55 - 64
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,14.4,"1,293",,65 or older,,,,,PA1,Q044,Age (years),65 or older
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,25.5,"1,607",,,College graduate,,,,PA1,Q044,Education,College graduate
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.7,"1,087",,,High school graduate,,,,PA1,Q044,Education,High school graduate
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,10.5,423,,,Less than high school,,,,PA1,Q044,Education,Less than high school
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.5,"1,243",,,Some college or technical school,,,,PA1,Q044,Education,Some college or technical school
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.7,"2,407",,,,Female,,,PA1,Q044,Gender,Female
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.1,"1,957",,,,Male,,,PA1,Q044,Gender,Male
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.5,664,,,,,"$15,000 - $24,999",,PA1,Q044,Income,"$15,000 - $24,999"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,14.5,429,,,,,"$25,000 - $34,999",,PA1,Q044,Income,"$25,000 - $34,999"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.8,517,,,,,"$35,000 - $49,999",,PA1,Q044,Income,"$35,000 - $49,999"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20,585,,,,,"$50,000 - $74,999",,PA1,Q044,Income,"$50,000 - $74,999"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,23.8,"1,071",,,,,"$75,000 or greater",,PA1,Q044,Income,"$75,000 or greater"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.1,713,,,,,Data not reported,,PA1,Q044,Income,Data not reported
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,13.6,387,,,,,"Less than $15,000",,PA1,Q044,Income,"Less than $15,000"
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.1,63,,,,,,2 or more races,PA1,Q044,Race/Ethnicity,2 or more races
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.5,133,,,,,,American Indian/Alaska Native,PA1,Q044,Race/Ethnicity,American Indian/Alaska Native
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,12,300,,,,,,Hispanic,PA1,Q044,Race/Ethnicity,Hispanic
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.4,820,,,,,,Non-Hispanic Black,PA1,Q044,Race/Ethnicity,Non-Hispanic Black
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19,"2,910",,,,,,Non-Hispanic White,PA1,Q044,Race/Ethnicity,Non-Hispanic White
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.8,"4,366",Total,,,,,,PA1,Q044,Total,Total
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.5,330,,18 - 24,,,,,PA1,Q045,Age (years),18 - 24
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),23.5,567,,25 - 34,,,,,PA1,Q045,Age (years),25 - 34
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),25.3,580,,35 - 44,,,,,PA1,Q045,Age (years),35 - 44
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.6,754,,45 - 54,,,,,PA1,Q045,Age (years),45 - 54
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.6,855,,55 - 64,,,,,PA1,Q045,Age (years),55 - 64
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),37,"1,294",,65 or older,,,,,PA1,Q045,Age (years),65 or older
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),33.5,"1,607",,,College graduate,,,,PA1,Q045,Education,College graduate
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.1,"1,095",,,High school graduate,,,,PA1,Q045,Education,High school graduate
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),22.4,424,,,Less than high school,,,,PA1,Q045,Education,Less than high school
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),29.3,"1,248",,,Some college or technical school,,,,PA1,Q045,Education,Some college or technical school
2017,NC,North Carolina,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.9,"2,410",,,,Female,,,PA1,Q045,Gender,Female
