Indicator,Group,State,Subgroup,Time Period Label,Value
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,Aug 19 - Aug 31,18.7
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,Aug 19 - Aug 31,8.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,Aug 19 - Aug 31,12.2
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,Aug 19 - Aug 31,11.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,Aug 19 - Aug 31,10
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,Aug 19 - Aug 31,8.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,Aug 19 - Aug 31,5.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,Aug 19 - Aug 31,4.1
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,Aug 19 - Aug 31,3
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,Aug 19 - Aug 31,6.7
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,Aug 19 - Aug 31,10.6
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Aug 19 - Aug 31,4.8
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Aug 19 - Aug 31,15.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Aug 19 - Aug 31,7.3
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Aug 19 - Aug 31,9.4
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Aug 19 - Aug 31,7.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Aug 19 - Aug 31,6.2
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Aug 19 - Aug 31,10.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,Aug 19 - Aug 31,7.1
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,Aug 19 - Aug 31,6.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Aug 19 - Aug 31,8.7
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Aug 19 - Aug 31,11.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,Aug 19 - Aug 31,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,Aug 19 - Aug 31,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,Aug 19 - Aug 31,7.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,Aug 19 - Aug 31,6.1
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,Aug 19 - Aug 31,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,Aug 19 - Aug 31,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,Aug 19 - Aug 31,12.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,Aug 19 - Aug 31,10
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,Aug 19 - Aug 31,19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,Aug 19 - Aug 31,7.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,Aug 19 - Aug 31,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,Aug 19 - Aug 31,11.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,Aug 19 - Aug 31,8.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,Aug 19 - Aug 31,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,Aug 19 - Aug 31,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,Aug 19 - Aug 31,8.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,Aug 19 - Aug 31,7.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,Aug 19 - Aug 31,5.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,Aug 19 - Aug 31,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,Aug 19 - Aug 31,12.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,Aug 19 - Aug 31,8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,Aug 19 - Aug 31,12.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,Aug 19 - Aug 31,9
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,Aug 19 - Aug 31,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,Aug 19 - Aug 31,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,Aug 19 - Aug 31,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,Aug 19 - Aug 31,9.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,Aug 19 - Aug 31,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,Aug 19 - Aug 31,6.7
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,Aug 19 - Aug 31,7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,Aug 19 - Aug 31,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,Aug 19 - Aug 31,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,Aug 19 - Aug 31,10.5
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,Aug 19 - Aug 31,8.9
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,Aug 19 - Aug 31,4.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,Aug 19 - Aug 31,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,Aug 19 - Aug 31,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,Aug 19 - Aug 31,13
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Aug 19 - Aug 31,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,Aug 19 - Aug 31,13.5
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,Aug 19 - Aug 31,5.4
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,Aug 19 - Aug 31,6.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,Aug 19 - Aug 31,8.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,Aug 19 - Aug 31,6.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,Aug 19 - Aug 31,9.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,Aug 19 - Aug 31,11.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,Aug 19 - Aug 31,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,Aug 19 - Aug 31,10.3
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,Aug 19 - Aug 31,5.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,Aug 19 - Aug 31,7.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,Aug 19 - Aug 31,5.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,Aug 19 - Aug 31,22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,Aug 19 - Aug 31,23.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,Aug 19 - Aug 31,23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,Aug 19 - Aug 31,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,Aug 19 - Aug 31,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,Aug 19 - Aug 31,21.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,Aug 19 - Aug 31,19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,Aug 19 - Aug 31,14.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,Aug 19 - Aug 31,16.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,Aug 19 - Aug 31,28
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Aug 19 - Aug 31,13.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Aug 19 - Aug 31,37.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Aug 19 - Aug 31,17.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Aug 19 - Aug 31,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Aug 19 - Aug 31,15.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Aug 19 - Aug 31,11.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Aug 19 - Aug 31,25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,Aug 19 - Aug 31,20
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,Aug 19 - Aug 31,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Aug 19 - Aug 31,23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Aug 19 - Aug 31,24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,Aug 19 - Aug 31,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,Aug 19 - Aug 31,19.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,Aug 19 - Aug 31,20.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,Aug 19 - Aug 31,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,Aug 19 - Aug 31,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,Aug 19 - Aug 31,22
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,Aug 19 - Aug 31,23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,Aug 19 - Aug 31,24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,Aug 19 - Aug 31,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,Aug 19 - Aug 31,21.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,Aug 19 - Aug 31,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,Aug 19 - Aug 31,19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,Aug 19 - Aug 31,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,Aug 19 - Aug 31,20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,Aug 19 - Aug 31,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,Aug 19 - Aug 31,25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,Aug 19 - Aug 31,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,Aug 19 - Aug 31,28.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,Aug 19 - Aug 31,26.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,Aug 19 - Aug 31,28
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,Aug 19 - Aug 31,20.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,Aug 19 - Aug 31,24.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,Aug 19 - Aug 31,23.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,Aug 19 - Aug 31,23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,Aug 19 - Aug 31,21.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,Aug 19 - Aug 31,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,Aug 19 - Aug 31,21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,Aug 19 - Aug 31,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,Aug 19 - Aug 31,17.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,Aug 19 - Aug 31,24.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,Aug 19 - Aug 31,21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,Aug 19 - Aug 31,23
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,Aug 19 - Aug 31,21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,Aug 19 - Aug 31,22.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,Aug 19 - Aug 31,20.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,Aug 19 - Aug 31,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,Aug 19 - Aug 31,24.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,Aug 19 - Aug 31,28.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Aug 19 - Aug 31,25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,Aug 19 - Aug 31,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,Aug 19 - Aug 31,21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,Aug 19 - Aug 31,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,Aug 19 - Aug 31,24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,Aug 19 - Aug 31,18.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,Aug 19 - Aug 31,27.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,Aug 19 - Aug 31,27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,Aug 19 - Aug 31,21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,Aug 19 - Aug 31,25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,Aug 19 - Aug 31,23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,Aug 19 - Aug 31,22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,Aug 19 - Aug 31,20.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,Aug 19 - Aug 31,9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,Aug 19 - Aug 31,15.6
